Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R003021,"Bagwell, Ashlie ",Harris Jones & Malone,Johns Hopkins,12/27/19-10/31/20
R002877,"Bell, Charles ","Consumer Reports, Inc.","Consumer Reports, Inc.",12/12/19-10/31/20
R000765,"Bjarekull, Tina M.",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/19-12/20/19
R000933,"Burmeister, Andrew ","Strategic Education, Inc.","Strategic Education, Inc.",11/01/19-10/31/20
R000640,"Fidler, Sara Cohen",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/19-10/31/20
R000620,"Frank, Jennifer V",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/19-10/31/20
R001227,"Hogan, Patrick John",Cornerstone Government Affairs,Historic St. Mary's City Commission Foundation,11/01/19-06/30/20
R001285,"Hogan, Patrick John",Cornerstone Government Affairs,St. Mary's College of Maryland Foundation,11/01/19-10/31/20
R001605,"Johansen, Michael V",Rifkin Weiner Livingston LLC,Education Affiliates/Fortis College,11/01/19-10/31/20
R002995,"Jones, Lisa ",Harris Jones & Malone,Johns Hopkins,11/01/19-10/31/20
R000782,"Kallis, Jody L",Maryland Association of Community Colleges,Maryland Association of Community Colleges,11/01/19-10/31/20
R000484,"Lucchi, Leonard L.","O'Malley, Miles, Nylen & Gilmore, P.A.",Hopewell Fund,11/01/19-10/31/20
R003002,"Malone, Sean R",Harris Jones & Malone,Johns Hopkins,12/27/19-10/31/20
R003013,"McDonough, Caitlin E",Harris Jones & Malone,Johns Hopkins,12/27/19-10/31/20
R000788,"Power, Matthew J",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/19-12/19/19
R001465,"Reith, John  C.",Rifkin Weiner Livingston LLC,Education Affiliates/Fortis College,11/01/19-10/31/20
R000051,"Reynolds, Patrick  Thomas",AFT-Maryland,AFT-Maryland,11/01/19-10/31/20
R000794,"Sadusky, Bernard J",Maryland Association of Community Colleges,Maryland Association of Community Colleges,11/01/19-10/31/20
R003009,"Tompsett Jr., Thomas R.",Harris Jones & Malone,Johns Hopkins,12/27/19-10/31/20
