"Client/Parent","Subsidiary/Affiliate","Total"
"Association of American Medical Colleges","","$3329000"
"University of California","","$1050000"
"Apollo Global Management","","$870000"
"Career Education Colleges & Universities","","$660000"
"Adtalem Global Education","","$650000"
"California State University","","$636000"
"Colorado State University","","$620000"
"University of Washington","","$600000"
"Association of Public & Land-Grant Universities","","$590000"
"Johns Hopkins University","","$580000"
"Texas A&M University","","$510000"
"University of Pittsburgh","","$500000"
"National Assn of Independent Colleges/Universities","","$500000"
"University of Pennsylvania","","$495000"
"University of Colorado","","$471264"
"Yale University","","$460000"
"American Council on Education","","$450318"
"Wake Forest University","","$450000"
"University of North Carolina","","$450000"
"Harvard University","","$445000"
"Nova Southeastern University","","$440000"
"Thomas Jefferson University","","$430000"
"University of Wisconsin","","$406000"
"University of Illinois","","$400000"
"Cornell University","","$390000"
"American Public University System","","$372365"
"Coalition of EPSCoR States","","$370000"
"New York University","","$370000"
"Augusta University","","$360000"
"Florida College System","","$360000"
"EFA Education","","$360000"
"University of Southern California","","$350000"
"Northwestern University","","$341000"
"Rutgers University","","$340000"
"Arizona State University","","$339750"
"Apollo Education Group","","$330000"
"Penn State University","","$320000"
"National Alliance for Public Charter Schools","","$318039"
"Princeton University","","$310000"
"University of Texas","","$300000"
"Clemson University","","$300000"
"Florida International University","","$294900"
"Emory University","","$290000"
"Associated Universities","","$290000"
"University of Massachusetts","","$290000"
"State University of New York","","$283000"
"Association of American Universities","","$280000"
"Boston University","","$280000"
"Early Care & Education Consortium","","$280000"
"Meharry Medical College","","$270000"
"Strategic Education","","$270000"
"University of Oklahoma","","$270000"
"University of Miami","","$263500"
"Stanford University","","$260000"
"Case Western Reserve University","","$260000"
"Michigan State University","","$250000"
"Duke University","","$244000"
"Drexel University","","$243000"
"Carnegie Mellon University","","$240000"
"Purdue University","","$240000"
"Temple University","","$240000"
"Texas State University","","$240000"
"University of Michigan","","$240000"
"National Head Start Assn","","$238672"
"University of Louisiana System","","$235000"
"University of Rochester","","$230000"
"Academic Partnerships","","$230000"
"Baylor University","","$220000"
"Institute of International Education","","$220000"
"University of Nebraska","","$220000"
"Washington State University","","$216159"
"University of Minnesota","","$215000"
"University of Connecticut","","$210000"
"Tulane University of Louisiana","","$210000"
"Southeastern Universities Research Assn","","$210000"
"Indiana University","","$210000"
"Louisiana State University","","$207500"
"Conscious Discipline","","$202500"
"St George's University","","$200000"
"University of Louisville","","$200000"
"University of Iowa","","$190000"
"Uncommon Schools","","$180000"
"Utah State University","","$180000"
"Yeshiva University","","$180000"
"West Coast University","","$180000"
"Society of Teachers of Family Medicine","","$180000"
"Northeastern University","","$180000"
"Boston College","","$180000"
"California Institute of Technology","","$180000"
"Auburn University","","$180000"
"Association for Career & Technical Education","","$180000"
"American Safety Council","","$180000"
